Country,Section ID,Section,Trade Value,Year
Kuwait,9,Wood Products,4072145,2019
Kuwait,10,Paper Goods,121070963,2019
Kuwait,11,Textiles,73618588,2019
Kuwait,12,Footwear and Headwear,15223205,2019
Kuwait,13,Stone And Glass,85010826,2019
Kuwait,14,Precious Metals,170930218,2019
Kuwait,15,Metals,407764793,2019
Kuwait,16,Machines,514646811,2019
Kuwait,17,Transportation,3513940291,2019
Kuwait,18,Instruments,121685495,2019
Kuwait,19,Weapons,2221041,2019
Kuwait,20,Miscellaneous,101077797,2019
Kuwait,21,Arts and Antiques,1276581,2019
Saudi Arabia,1,Animal Products,1612163718,2014
Saudi Arabia,2,Vegetable Products,325158734,2014
Saudi Arabia,3,Animal and Vegetable Bi-Products,294989447,2014
Saudi Arabia,4,Foodstuffs,1735463027,2014
Saudi Arabia,5,Mineral Products,502147596,2014
Saudi Arabia,6,Chemical Products,25235235479,2014
Saudi Arabia,7,Plastics and Rubbers,21256511441,2014
Saudi Arabia,8,Animal Hides,121050469,2014
Saudi Arabia,9,Wood Products,46911783,2014
Saudi Arabia,10,Paper Goods,1357358665,2014
Saudi Arabia,11,Textiles,753036066,2014
Saudi Arabia,12,Footwear and Headwear,18185150,2014
Saudi Arabia,13,Stone And Glass,635852969,2014
Saudi Arabia,14,Precious Metals,1411418675,2014
Saudi Arabia,15,Metals,4345337180,2014
Saudi Arabia,16,Machines,2627711204,2014
Saudi Arabia,17,Transportation,3724554435,2014
Saudi Arabia,18,Instruments,149213972,2014
Saudi Arabia,19,Weapons,978033,2014
Saudi Arabia,20,Miscellaneous,133259862,2014
Saudi Arabia,21,Arts and Antiques,10743671,2014
Saudi Arabia,1,Animal Products,1583079186,2015
Saudi Arabia,2,Vegetable Products,348992826,2015
Saudi Arabia,3,Animal and Vegetable Bi-Products,289179936,2015
Saudi Arabia,4,Foodstuffs,1749846825,2015
Saudi Arabia,5,Mineral Products,564596184,2015
Saudi Arabia,6,Chemical Products,20621564645,2015
Saudi Arabia,7,Plastics and Rubbers,17418585707,2015
Saudi Arabia,8,Animal Hides,100286072,2015
Saudi Arabia,9,Wood Products,49794496,2015
Saudi Arabia,10,Paper Goods,1205101082,2015
Saudi Arabia,11,Textiles,716635041,2015
Saudi Arabia,12,Footwear and Headwear,18411989,2015
Saudi Arabia,13,Stone And Glass,578399692,2015
Saudi Arabia,14,Precious Metals,1296032091,2015
Saudi Arabia,15,Metals,4392498063,2015
Saudi Arabia,16,Machines,2587419708,2015
Saudi Arabia,17,Transportation,4335779748,2015
Saudi Arabia,18,Instruments,170666368,2015
Saudi Arabia,19,Weapons,978548,2015
Saudi Arabia,20,Miscellaneous,107980562,2015
Saudi Arabia,21,Arts and Antiques,4881617,2015
Saudi Arabia,1,Animal Products,1588767164,2016
Saudi Arabia,2,Vegetable Products,356597549,2016
Saudi Arabia,3,Animal and Vegetable Bi-Products,323052386,2016
Saudi Arabia,4,Foodstuffs,1678048456,2016
Saudi Arabia,5,Mineral Products,568660500,2016
Saudi Arabia,6,Chemical Products,17167805773,2016
Saudi Arabia,7,Plastics and Rubbers,16853753312,2016
Saudi Arabia,8,Animal Hides,84224190,2016
Saudi Arabia,9,Wood Products,39384159,2016
Saudi Arabia,10,Paper Goods,1093135931,2016
Saudi Arabia,11,Textiles,598245512,2016
Saudi Arabia,12,Footwear and Headwear,18963086,2016
Saudi Arabia,13,Stone And Glass,582903626,2016
Saudi Arabia,14,Precious Metals,1844337630,2016
Saudi Arabia,15,Metals,3836518576,2016
Saudi Arabia,16,Machines,2366329709,2016
Saudi Arabia,17,Transportation,3487329898,2016
Saudi Arabia,18,Instruments,156761178,2016
Saudi Arabia,19,Weapons,1241048,2016
Saudi Arabia,20,Miscellaneous,107167410,2016
Saudi Arabia,21,Arts and Antiques,137496123,2016
Saudi Arabia,1,Animal Products,1591929792,2017
Saudi Arabia,2,Vegetable Products,392585593,2017
Saudi Arabia,3,Animal and Vegetable Bi-Products,268954222,2017
Saudi Arabia,4,Foodstuffs,1602289197,2017
Saudi Arabia,5,Mineral Products,748329230,2017
Saudi Arabia,6,Chemical Products,17518155175,2017
Saudi Arabia,7,Plastics and Rubbers,19517369273,2017
Saudi Arabia,8,Animal Hides,103157886,2017
Saudi Arabia,9,Wood Products,49932206,2017
Saudi Arabia,10,Paper Goods,1042637995,2017
Saudi Arabia,11,Textiles,668400726,2017
Saudi Arabia,12,Footwear and Headwear,11778173,2017
Saudi Arabia,13,Stone And Glass,566398599,2017
Saudi Arabia,14,Precious Metals,1328008622,2017
Saudi Arabia,15,Metals,4802089196,2017
Saudi Arabia,16,Machines,2585629260,2017
Saudi Arabia,17,Transportation,4175527607,2017
Saudi Arabia,18,Instruments,208471435,2017
Saudi Arabia,19,Weapons,12264733,2017
Saudi Arabia,20,Miscellaneous,123998039,2017
Saudi Arabia,21,Arts and Antiques,130745113,2017
Saudi Arabia,1,Animal Products,1569979864,2018
Saudi Arabia,2,Vegetable Products,377180696,2018
Saudi Arabia,3,Animal and Vegetable Bi-Products,271746062,2018
Saudi Arabia,4,Foodstuffs,1552710059,2018
Saudi Arabia,5,Mineral Products,1194892104,2018
Saudi Arabia,6,Chemical Products,22518069047,2018
Saudi Arabia,7,Plastics and Rubbers,23870173694,2018
Saudi Arabia,8,Animal Hides,80873983,2018
Saudi Arabia,9,Wood Products,84026035,2018
Saudi Arabia,10,Paper Goods,1141833391,2018
Saudi Arabia,11,Textiles,635130949,2018
Saudi Arabia,12,Footwear and Headwear,15948201,2018
Saudi Arabia,13,Stone And Glass,634268843,2018
Saudi Arabia,14,Precious Metals,1249766144,2018
Saudi Arabia,15,Metals,6769672165,2018
Saudi Arabia,16,Machines,2873251861,2018
Saudi Arabia,17,Transportation,3986712573,2018
Saudi Arabia,18,Instruments,230090186,2018
Saudi Arabia,19,Weapons,1281036,2018
Saudi Arabia,20,Miscellaneous,160299847,2018
Saudi Arabia,21,Arts and Antiques,75942916,2018
Saudi Arabia,1,Animal Products,1492216695,2019
Saudi Arabia,2,Vegetable Products,341539553,2019
Saudi Arabia,3,Animal and Vegetable Bi-Products,272187074,2019
Saudi Arabia,4,Foodstuffs,1550509166,2019
Saudi Arabia,5,Mineral Products,1053427396,2019
Saudi Arabia,6,Chemical Products,19703801333,2019
Saudi Arabia,7,Plastics and Rubbers,21554975515,2019
Saudi Arabia,8,Animal Hides,77581832,2019
Saudi Arabia,9,Wood Products,32342777,2019
Saudi Arabia,10,Paper Goods,1015242923,2019
Saudi Arabia,11,Textiles,475671371,2019
Saudi Arabia,12,Footwear and Headwear,4377682,2019
Saudi Arabia,13,Stone And Glass,539693304,2019
Saudi Arabia,14,Precious Metals,1226572997,2019
Saudi Arabia,15,Metals,4975339151,2019
Saudi Arabia,16,Machines,1544532351,2019
Saudi Arabia,17,Transportation,231028562,2019
Saudi Arabia,18,Instruments,81459095,2019
Saudi Arabia,19,Weapons,6530773,2019
Saudi Arabia,20,Miscellaneous,61859972,2019
Saudi Arabia,21,Arts and Antiques,33094869,2019
Qatar,1,Animal Products,26929259,2014
Qatar,2,Vegetable Products,7100869,2014
Qatar,3,Animal and Vegetable Bi-Products,2139022,2014
Qatar,4,Foodstuffs,7422335,2014
Qatar,5,Mineral Products,374198886,2014
Qatar,6,Chemical Products,3830438867,2014
Qatar,7,Plastics and Rubbers,2976342989,2014
Qatar,8,Animal Hides,11384607,2014
Qatar,9,Wood Products,713208,2014
Qatar,10,Paper Goods,58802029,2014
Qatar,11,Textiles,11196018,2014
Qatar,12,Footwear and Headwear,3412378,2014
Qatar,13,Stone And Glass,25705331,2014
Qatar,14,Precious Metals,185956544,2014
Qatar,15,Metals,2387257535,2014
Qatar,16,Machines,173191693,2014
Qatar,17,Transportation,43429637,2014
Qatar,18,Instruments,33195106,2014
Qatar,19,Weapons,23270740,2014
Qatar,20,Miscellaneous,5880101,2014
Qatar,21,Arts and Antiques,52762192,2014
Qatar,1,Animal Products,133064625,2015
Qatar,2,Vegetable Products,16889615,2015
Qatar,3,Animal and Vegetable Bi-Products,2626575,2015
Qatar,4,Foodstuffs,11018551,2015
Qatar,5,Mineral Products,352925641,2015
Qatar,6,Chemical Products,4340629139,2015
Qatar,7,Plastics and Rubbers,2572402413,2015
Qatar,8,Animal Hides,9751622,2015
Qatar,9,Wood Products,21948351,2015
Qatar,10,Paper Goods,71598048,2015
Qatar,11,Textiles,30786881,2015
Qatar,12,Footwear and Headwear,3987835,2015
Qatar,13,Stone And Glass,19996967,2015
Qatar,14,Precious Metals,399211291,2015
